Timestamp for sample frequency every 1 min,Temperature_Celsius,Relative_Humidity
2019-11-09 15:07:00,16.9,33.4
2019-11-09 15:08:00,16.9,33.4
2019-11-09 15:09:00,16.2,33.5
2019-11-09 15:10:00,15.5,33.9
2019-11-09 15:11:00,14.4,34.9
2019-11-09 15:12:00,14,35.4
2019-11-09 15:13:00,13.6,36.1
2019-11-09 15:14:00,13.2,36.7
2019-11-09 15:15:00,12.8,37.4
2019-11-09 15:16:00,12.5,38
2019-11-09 15:17:00,12.2,38.6
2019-11-09 15:18:00,11.9,39.2
2019-11-09 15:19:00,11.7,39.8
2019-11-09 15:20:00,11.5,40.4
2019-11-09 15:21:00,11.3,40.8
2019-11-09 15:22:00,11.1,41.4
2019-11-09 15:23:00,10.9,41.8
2019-11-09 15:24:00,10.7,42.2
2019-11-09 15:25:00,10.6,42.6
2019-11-09 15:26:00,10.5,43
2019-11-09 15:27:00,10.4,43.3
2019-11-09 15:28:00,10.3,43.7
2019-11-09 15:29:00,10.2,44
2019-11-09 15:30:00,10.1,44.4
2019-11-09 15:31:00,10,44.6
2019-11-09 15:32:00,10,45
2019-11-09 15:33:00,9.9,45.3
2019-11-09 15:34:00,9.8,45.6
2019-11-09 15:35:00,9.8,45.8
2019-11-09 15:36:00,9.7,46.2
2019-11-09 15:37:00,9.7,46.4
2019-11-09 15:38:00,9.7,46.8
2019-11-09 15:39:00,9.6,46.8
2019-11-09 15:40:00,9.6,46.9
2019-11-09 15:41:00,9.5,47.1
2019-11-09 15:42:00,9.5,47.3
2019-11-09 15:43:00,9.5,47.4
2019-11-09 15:44:00,9.5,47.7
2019-11-09 15:45:00,9.5,47.8
2019-11-09 15:46:00,9.4,47.9
2019-11-09 15:47:00,9.4,48.1
2019-11-09 15:48:00,9.4,48.3
2019-11-09 15:49:00,9.4,48.4
2019-11-09 15:50:00,9.4,48.5
2019-11-09 15:51:00,9.4,48.6
2019-11-09 15:52:00,9.4,48.7
2019-11-09 15:53:00,9.4,48.8
2019-11-09 15:54:00,9.4,49
2019-11-09 15:55:00,9.3,48.9
2019-11-09 15:56:00,9.3,49.1
2019-11-09 15:57:00,9.3,49.2
2019-11-09 15:58:00,9.3,49.2
2019-11-09 15:59:00,9.3,49.3
2019-11-09 16:00:00,9.3,49.4
2019-11-09 16:01:00,9.3,49.4
2019-11-09 16:02:00,9.3,49.5
2019-11-09 16:03:00,9.3,49.6
2019-11-09 16:04:00,9.3,49.6
2019-11-09 16:05:00,9.3,49.7
2019-11-09 16:06:00,9.3,49.8
2019-11-09 16:07:00,9.3,49.9
2019-11-09 16:08:00,9.3,49.9
2019-11-09 16:09:00,9.3,49.9
2019-11-09 16:10:00,9.3,50
2019-11-09 16:11:00,9.3,50.1
2019-11-09 16:12:00,9.3,50.1
2019-11-09 16:13:00,9.3,50.2
2019-11-09 16:14:00,9.3,50.2
2019-11-09 16:15:00,9.3,50.1
2019-11-09 16:16:00,9.3,50.3
2019-11-09 16:17:00,9.3,50.4
2019-11-09 16:18:00,9.3,50.4
2019-11-09 16:19:00,9.3,50.5
2019-11-09 16:20:00,9.3,50.5
2019-11-09 16:21:00,9.3,50.6
2019-11-09 16:22:00,9.3,50.6
2019-11-09 16:23:00,9.3,50.6
2019-11-09 16:24:00,9.3,50.7
2019-11-09 16:25:00,9.3,50.6
2019-11-09 16:26:00,9.3,50.6
2019-11-09 16:27:00,9.3,50.5
2019-11-09 16:28:00,9.3,50.4
2019-11-09 16:29:00,9.2,50.5
2019-11-09 16:30:00,9.2,50.5
2019-11-09 16:31:00,9.2,50.5
2019-11-09 16:32:00,9.2,50.4
2019-11-09 16:33:00,9.2,50.5
2019-11-09 16:34:00,9.2,50.5
2019-11-09 16:35:00,9.2,50.6
2019-11-09 16:36:00,9.2,50.6
2019-11-09 16:37:00,9.2,50.7
2019-11-09 16:38:00,9.2,50.7
2019-11-09 16:39:00,9.2,50.7
2019-11-09 16:40:00,9.2,50.8
2019-11-09 16:41:00,9.1,50.9
2019-11-09 16:42:00,9.1,50.9
2019-11-09 16:43:00,9.1,50.9
2019-11-09 16:44:00,9.1,51
2019-11-09 16:45:00,9.1,51.1
2019-11-09 16:46:00,9,51.2
2019-11-09 16:47:00,9,51.3
2019-11-09 16:48:00,9,51.3
2019-11-09 16:49:00,9,51.3
2019-11-09 16:50:00,9,51.3
2019-11-09 16:51:00,8.9,51.4
2019-11-09 16:52:00,8.9,51.3
2019-11-09 16:53:00,8.9,50.9
2019-11-09 16:54:00,8.9,50.8
2019-11-09 16:55:00,8.8,51.1
2019-11-09 16:56:00,8.8,51.2
2019-11-09 16:57:00,8.8,51.4
2019-11-09 16:58:00,8.8,51.6
2019-11-09 16:59:00,8.7,51.4
2019-11-09 17:00:00,8.7,51.3
2019-11-09 17:01:00,8.7,51.4
2019-11-09 17:02:00,8.7,51.4
2019-11-09 17:03:00,8.7,51.4
2019-11-09 17:04:00,8.6,51.6
2019-11-09 17:05:00,8.6,51.5
